,label
836,rock
837,country
838,hiphop
839,metal
840,country
841,country
842,classical
843,reggae
844,metal
845,jazz
846,jazz
847,reggae
848,jazz
849,disco
850,jazz
851,rock
852,disco
853,metal
854,country
855,rock
856,metal
857,classical
858,pop
859,hiphop
860,metal
861,blues
862,country
863,hiphop
864,hiphop
865,rock
866,jazz
867,disco
868,hiphop
869,classical
870,pop
871,jazz
872,rock
873,hiphop
874,rock
875,blues
876,rock
877,hiphop
878,country
879,disco
880,country
881,metal
882,jazz
883,reggae
884,country
885,disco
886,reggae
887,blues
888,disco
889,country
890,metal
891,classical
892,disco
893,disco
894,blues
895,reggae
896,blues
897,pop
898,hiphop
899,metal
